"","","United Kingdom ","Wales ","","Wales "
"","",".","West Wales and the Valleys ","East Wales ","."
"All industries ","",32434800,818600,590300,1408900
"All industries ","Agriculture, forestry and fishing ",390800,28300,14900,43200
"","Production ",2820100,94000,68500,162500
"","Construction ",2191200,66900,35800,102700
"","Wholesale, retail, transport, hotels and food ",8410700,217000,143200,360200
"","Information and communication ",1387300,16700,17600,34400
"","Finance and insurance activities ",1071800,11600,19400,31000
"","Real estate activities ",531900,13100,9600,22700
"","Professional, scientific and technical activities; administrative and support service activities ",5804900,76000,85200,161200
"","Public administration, defence, education and health ",7956200,253100,165400,418500
"","Other service activities ",1870400,41700,30600,72400


